passenger_id,name,pclass,sex,age,sibsp,parch,fare,embark_port,cabin,survived
28,Ada Okonkwo,3,male,1.3,0,0,15.79,Southampton,,0
29,Maeve Rowan,3,female,17.6,1,1,23.23,Queenstown,,1
30,Piet Ashworth,3,male,23.8,0,0,4.63,Cherbourg,,0
31,Sofia Lindqvist,3,male,21.6,2,0,7.49,Southampton,,0
32,Gus Lindqvist,1,female,50.4,2,0,77.51,Southampton,B9,1
33,Rosa Ferreira,2,male,24.0,0,1,19.86,Southampton,,0
34,Elsie Bergstrom,3,male,,1,0,16.52,Southampton,,0
35,Clara Mancini,2,male,,0,0,24.39,Southampton,,1
36,Tomas Nakamura,2,female,18.9,0,0,33.1,Southampton,,1
37,Clara Vestergaard,2,male,12.9,0,0,30.91,Southampton,,0
38,Tomas Vestergaard,2,male,48.8,0,1,23.13,Southampton,,1
39,Sofia Lindqvist,3,male,11.0,0,0,14.47,Southampton,,1
40,Jonas Kowalski,1,female,,0,0,61.19,Southampton,D10,1
41,Tomas Ferreira,2,male,8.8,0,0,30.76,Southampton,,0
42,Sofia Dvorak,3,female,,0,1,17.4,Queenstown,,0
43,Tomas Toussaint,1,male,20.1,1,1,80.43,Cherbourg,,0
44,Emil Halloran,2,female,56.8,0,0,24.35,Southampton,,1
45,Clara Dvorak,2,male,20.7,0,0,18.03,Cherbourg,,0
46,Gus Ashworth,1,female,16.7,0,0,83.31,Southampton,,1
47,Otto Nakamura,3,female,34.2,0,1,16.87,Southampton,,1
48,Hugo Mancini,3,female,14.8,0,0,11.09,Southampton,,0
49,Owen Kowalski,3,male,,1,0,16.17,Southampton,,0
50,Owen Ashworth,3,female,17.9,1,0,10.81,Cherbourg,,0
51,Tomas Lindqvist,1,male,,1,0,114.06,Cherbourg,B16,1
52,Caleb Lindqvist,1,male,29.4,0,1,80.98,Queenstown,,0
53,Rosa Okonkwo,1,male,50.4,0,0,58.31,Southampton,,0
54,Mira Toussaint,3,female,10.7,0,0,18.06,Southampton,,1
55,Emil Rowan,1,female,33.2,0,0,58.73,Cherbourg,A58,1
56,Piet Ferreira,3,female,10.1,0,0,15.9,Southampton,,0
57,Ada Vestergaard,3,female,6.1,0,0,12.62,Cherbourg,,0
58,Jonas Kowalski,2,female,41.7,0,1,8.01,Southampton,,1
59,Tomas Rowan,3,male,20.8,0,0,17.67,Southampton,,0
60,Piet Nakamura,2,male,14.7,1,0,9.64,Southampton,,0
61,Mira Dvorak,1,male,19.3,0,0,83.33,Southampton,,0
62,Bram Okonkwo,3,female,22.9,0,0,15.58,Cherbourg,,0
63,Gus Toussaint,3,male,26.5,0,0,5.89,Southampton,,0
64,Ada Ashworth,3,female,16.8,1,1,20.1,Queenstown,,0
65,Rosa Ferreira,2,female,7.6,0,1,15.8,Southampton,,0
66,Iris Halloran,2,male,32.9,1,0,33.52,Queenstown,,1
67,Nina Ferreira,3,female,9.6,0,0,17.83,Southampton,,1
68,Mira Lindqvist,1,male,44.5,1,0,132.26,Southampton,,1
69,Nina Toussaint,3,male,,2,1,13.3,Southampton,,0
70,Elsie Nakamura,3,female,41.4,0,0,6.74,Southampton,,1
71,Lena Rowan,2,female,37.0,0,0,24.66,,,0
72,Rosa Mancini,1,male,30.7,0,0,67.31,Cherbourg,B54,0
73,Mira Kowalski,1,male,15.5,0,1,71.85,Southampton,D86,1
74,Hugo Dvorak,1,female,,2,1,49.95,,D31,1
75,Clara Ashworth,1,female,41.6,2,0,120.67,Cherbourg,,1
76,Clara Vestergaard,3,male,1.5,0,0,13.94,Southampton,,0
77,Jonas Okonkwo,1,female,,0,0,98.49,Southampton,,1
78,Bram Dvorak,1,female,33.7,1,2,48.75,Southampton,D43,1
79,Gus Ferreira,1,male,21.8,0,2,149.25,Southampton,D14,0
80,Rosa Ashworth,1,male,40.8,0,1,36.02,Southampton,B74,0
81,Mira Rowan,3,female,40.3,1,0,17.47,Southampton,,1
82,Piet Bergstrom,2,male,4.4,0,0,29.78,Queenstown,,0
83,Piet Dvorak,3,male,38.7,0,1,23.8,Cherbourg,,0
84,Clara Dvorak,3,female,0.5,2,2,21.98,Cherbourg,,1
85,Caleb Dvorak,3,female,,0,0,14.68,Southampton,,1
86,Emil Bergstrom,3,female,21.9,0,2,24.69,Southampton,,0
87,Maeve Kowalski,3,male,24.9,1,1,9.32,Southampton,,0
88,Hugo Dvorak,3,male,24.0,0,0,28.93,Southampton,,0
89,Maeve Okonkwo,3,female,,0,0,17.98,Southampton,,1
90,Piet Okonkwo,3,male,58.8,1,1,5.65,Southampton,,0
91,Caleb Bergstrom,3,male,25.2,1,0,14.44,Southampton,,0
92,Iris Kowalski,2,male,,0,0,14.81,Southampton,,0
93,Owen Okonkwo,2,male,,1,1,28.98,Cherbourg,,0
94,Owen Mancini,2,male,45.8,1,0,26.43,Queenstown,,0
95,Rosa Beaumont,1,male,29.8,1,0,126.3,Southampton,C16,0
96,Piet Mancini,1,female,28.8,1,0,115.67,Queenstown,,1
97,Hugo Ashworth,2,female,59.8,0,0,40.3,Southampton,,1
98,Owen Dvorak,2,female,,0,0,31.47,Southampton,,1
99,Elsie Mancini,3,male,,1,0,15.72,Queenstown,,1
100,Piet Vestergaard,3,female,0.5,1,0,15.59,Cherbourg,,0
101,Emil Lindqvist,3,female,9.7,1,0,14.63,Cherbourg,,1
102,Otto Toussaint,2,female,22.0,1,0,12.28,,,1
103,Emil Nakamura,2,male,28.2,0,0,23.04,Cherbourg,,0
104,Piet Lindqvist,1,male,,0,0,63.07,Cherbourg,C32,0
105,Otto Toussaint,3,male,,0,0,23.69,Southampton,,0
106,Hugo Lindqvist,3,female,,0,0,6.47,Southampton,,0
107,Bram Lindqvist,2,female,32.4,3,0,18.22,Cherbourg,,1
108,Piet Lindqvist,1,female,11.9,0,0,26.33,Southampton,E119,1
109,Rosa Dvorak,3,female,53.7,0,0,16.82,Southampton,,0
110,Nina Kowalski,3,male,10.4,0,0,7.59,Southampton,,0
111,Tomas Nakamura,3,female,21.2,0,0,15.62,Southampton,,1
112,Maeve Mancini,3,female,,0,0,8.82,Southampton,,1
113,Gus Beaumont,1,male,23.0,0,0,86.87,Southampton,E91,1
114,Caleb Vestergaard,2,male,31.7,0,0,30.41,Cherbourg,,0
115,Mira Rowan,2,male,43.3,1,0,39.99,Cherbourg,,1
116,Elsie Beaumont,1,male,59.1,0,0,62.6,Southampton,D120,1
117,Bram Toussaint,3,male,28.4,1,0,14.18,Cherbourg,,0
118,Sofia Beaumont,1,male,11.5,0,0,64.63,Southampton,D109,1
119,Otto Ferreira,3,male,23.4,0,0,16.71,Cherbourg,,0
120,Mira Rowan,3,male,,0,0,14.89,Southampton,,0
121,Lena Dvorak,3,male,10.6,0,0,17.41,Queenstown,,1
122,Mira Dvorak,1,female,29.9,2,2,94.07,Cherbourg,,1
123,Piet Nakamura,3,male,36.7,1,0,16.94,Southampton,,0
124,Piet Ashworth,2,male,27.7,0,0,22.19,Southampton,,0
125,Emil Rowan,3,female,34.0,0,1,21.17,Southampton,,0
126,Nina Kowalski,2,male,,0,0,6.04,Cherbourg,,0
127,Nina Toussaint,3,male,25.9,0,0,12.81,Southampton,,0
128,Nina Mancini,1,female,27.1,0,0,59.65,Queenstown,C54,1
129,Jonas Ferreira,3,male,24.4,1,0,15.87,Cherbourg,,1
130,Emil Ferreira,2,female,31.3,0,0,20.17,Southampton,,0
131,Otto Ferreira,3,male,22.4,1,0,20.78,Cherbourg,,0
132,Lena Vestergaard,1,male,29.7,0,0,136.47,Southampton,E7,1
133,Gus Halloran,1,male,44.7,0,1,85.91,Southampton,E51,0
134,Jonas Mancini,1,male,58.0,3,0,55.03,Southampton,B69,0
135,Otto Ferreira,1,male,,0,1,71.45,Cherbourg,B102,1
136,Lena Okonkwo,2,female,24.3,0,1,5.98,,,1
137,Emil Vestergaard,2,male,29.0,0,0,19.77,Southampton,,0
138,Tomas Nakamura,2,female,69.1,0,0,28.97,Southampton,,1
139,Mira Toussaint,2,female,48.4,2,1,29.22,Southampton,,0
140,Elsie Nakamura,3,male,22.0,0,0,20.11,Southampton,,0
141,Iris Rowan,3,female,,0,0,15.02,Southampton,,0
142,Clara Ashworth,3,male,13.7,1,0,14.78,Southampton,,0
143,Iris Kowalski,2,female,45.3,0,0,27.82,Southampton,,1
144,Piet Rowan,3,male,2.6,0,2,17.47,Southampton,,0
145,Tomas Lindqvist,3,female,24.9,3,0,9.14,Southampton,,0
146,Owen Toussaint,1,female,35.8,0,0,115.55,Southampton,D110,1
147,Jonas Ferreira,3,female,27.7,0,0,20.67,Cherbourg,,1
148,Rosa Ashworth,1,male,,0,0,66.41,Southampton,,0
149,Lena Nakamura,3,male,5.7,1,2,19.78,Southampton,,0
150,Ada Vestergaard,3,male,,0,0,7.49,Southampton,,0
151,Lena Ashworth,3,male,21.2,0,0,12.02,Southampton,,0
152,Otto Ferreira,1,female,29.1,0,0,56.95,Cherbourg,D29,0
153,Ada Ferreira,1,male,27.2,0,0,89.64,Southampton,E32,1
154,Rosa Vestergaard,2,male,24.9,1,1,29.57,Southampton,,1
155,Otto Vestergaard,3,female,16.5,0,1,7.2,Southampton,,0
156,Caleb Mancini,2,male,5.8,0,0,26.85,Southampton,,1
157,Tomas Rowan,3,female,34.3,0,0,18.71,Southampton,,1
158,Otto Toussaint,1,male,,2,0,85.94,Southampton,,0
159,Gus Vestergaard,3,male,18.9,2,1,27.83,Southampton,,1
160,Caleb Okonkwo,3,female,22.8,0,0,12.91,Southampton,,1
161,Jonas Toussaint,3,male,,0,0,15.86,Cherbourg,,0
162,Caleb Nakamura,3,female,,0,2,12.59,Cherbourg,,0
163,Owen Ferreira,3,female,16.6,0,0,15.18,Queenstown,,1
164,Lena Dvorak,2,female,18.1,0,1,10.76,Southampton,,1
165,Bram Kowalski,3,female,15.3,0,0,13.0,Southampton,,1
166,Owen Kowalski,2,female,47.9,0,0,19.14,Cherbourg,,0
167,Caleb Kowalski,2,female,24.4,0,0,8.98,Southampton,,1
168,Mira Okonkwo,3,male,16.2,0,0,18.54,Southampton,,1
169,Caleb Rowan,2,male,49.0,0,0,38.54,Southampton,,0
170,Gus Nakamura,2,female,19.0,0,0,32.44,Southampton,,0
171,Mira Nakamura,3,female,0.5,0,1,14.31,Southampton,,1
172,Jonas Rowan,3,male,11.2,1,1,22.43,Cherbourg,,0
173,Lena Rowan,2,female,44.1,0,0,12.76,Southampton,,0
174,Clara Ashworth,3,female,32.9,0,0,14.51,Southampton,,0
175,Maeve Mancini,3,female,20.6,0,0,22.33,Southampton,,0
176,Bram Dvorak,2,male,6.9,3,0,15.11,Southampton,,0
177,Jonas Okonkwo,1,female,23.9,0,1,84.1,Southampton,D63,1
178,Hugo Vestergaard,1,female,42.4,3,0,62.17,Southampton,C104,1
179,Tomas Bergstrom,2,female,26.0,0,0,28.88,Cherbourg,,0
180,Gus Beaumont,2,female,42.5,1,0,23.37,Southampton,,1
181,Piet Rowan,3,male,8.6,0,0,20.68,Cherbourg,,1
182,Owen Ferreira,3,female,31.9,0,0,6.6,Southampton,,0
183,Tomas Okonkwo,3,male,13.8,1,0,9.37,Southampton,,0
184,Lena Halloran,1,female,27.8,0,0,144.03,Southampton,C112,0
185,Maeve Ashworth,3,female,,0,0,11.6,Queenstown,,0
186,Gus Vestergaard,1,female,,2,1,66.22,Southampton,A72,1
187,Emil Lindqvist,1,male,13.9,0,0,91.09,Southampton,,0
188,Ada Ferreira,3,male,31.0,2,0,22.22,Queenstown,,1
189,Caleb Ferreira,1,female,40.8,1,1,32.71,Cherbourg,,1
190,Iris Mancini,2,female,23.7,0,0,42.07,Southampton,,1
191,Caleb Mancini,2,male,,0,0,26.61,Southampton,,0
192,Rosa Mancini,3,male,3.7,0,0,12.48,Cherbourg,,1
193,Clara Nakamura,1,female,52.9,0,0,117.19,Southampton,A107,1
194,Ada Halloran,2,female,29.4,0,0,15.54,Cherbourg,,0
195,Lena Nakamura,3,male,12.7,0,0,17.6,Southampton,,0
196,Nina Nakamura,1,male,34.7,1,1,105.22,Southampton,A119,0
197,Sofia Lindqvist,3,female,16.8,0,0,7.09,Southampton,,0
198,Piet Kowalski,3,male,28.7,0,0,18.09,Southampton,,0
199,Otto Mancini,3,female,30.0,0,0,5.51,Southampton,,0
200,Emil Mancini,1,male,31.2,0,1,96.97,Southampton,,0
201,Tomas Nakamura,1,female,43.9,0,0,88.25,Southampton,C22,1
202,Piet Lindqvist,3,male,10.8,2,0,13.6,Cherbourg,,0
203,Ada Kowalski,3,male,31.1,0,0,13.9,Southampton,,0
204,Sofia Lindqvist,3,female,34.9,0,0,12.63,Southampton,,0
205,Owen Beaumont,1,male,12.1,3,0,91.54,Cherbourg,D103,1
206,Rosa Bergstrom,1,female,0.5,0,0,52.18,Southampton,B83,1
207,Otto Beaumont,3,male,38.5,1,0,11.46,Southampton,,0
208,Mira Mancini,3,female,36.6,0,1,17.03,Queenstown,,0
209,Bram Toussaint,1,male,40.3,0,0,60.05,Southampton,A56,0
210,Caleb Okonkwo,2,female,44.7,0,0,20.03,Southampton,,1
211,Elsie Kowalski,3,female,7.9,0,0,15.48,Queenstown,,1
212,Otto Vestergaard,3,female,38.6,2,1,13.52,Southampton,,1
213,Maeve Rowan,1,female,31.6,0,0,54.69,Southampton,C38,1
214,Gus Toussaint,3,male,41.7,2,0,10.9,Southampton,,0
215,Nina Toussaint,3,male,18.1,0,0,16.46,Southampton,,0
216,Nina Halloran,3,male,21.2,0,0,14.33,Southampton,,0
217,Caleb Mancini,3,female,14.9,0,0,9.95,Southampton,,0
218,Iris Dvorak,3,male,,0,0,15.23,Southampton,,1
219,Maeve Dvorak,1,female,24.9,0,2,31.93,Southampton,,1
220,Bram Kowalski,2,male,27.6,0,0,25.94,Southampton,,1
221,Clara Mancini,1,female,35.4,0,0,62.2,Southampton,,0
222,Gus Dvorak,1,female,54.7,0,0,69.09,Southampton,,1
223,Hugo Okonkwo,3,male,0.5,0,0,7.09,Cherbourg,,1
224,Elsie Bergstrom,3,male,,0,1,23.25,Southampton,,0
225,Maeve Halloran,2,male,21.0,0,2,12.67,Southampton,,1
226,Bram Mancini,2,male,17.5,0,1,25.18,Cherbourg,,0
227,Tomas Rowan,1,female,0.5,0,2,62.08,Southampton,B89,1
228,Emil Okonkwo,1,male,,0,0,42.67,Southampton,,1
229,Hugo Rowan,1,female,,0,1,62.3,Southampton,A86,1
230,Sofia Beaumont,2,male,11.1,0,0,42.53,Cherbourg,,1
231,Piet Dvorak,3,male,23.3,0,2,24.22,Southampton,,0
232,Otto Bergstrom,3,female,9.7,1,0,12.61,Southampton,,0
233,Gus Rowan,3,female,5.9,0,0,3.07,Southampton,,1
234,Hugo Okonkwo,2,female,42.3,0,0,17.52,Southampton,,1
235,Piet Vestergaard,3,male,51.8,0,0,16.3,Southampton,,0
236,Clara Kowalski,1,female,19.9,1,1,82.44,Southampton,D105,1
237,Owen Dvorak,3,male,0.5,1,1,6.5,Southampton,,1
238,Caleb Dvorak,2,female,41.8,0,0,19.05,Southampton,,0
239,Mira Ashworth,3,female,,0,0,16.31,Southampton,,1
240,Gus Dvorak,3,female,57.2,1,0,18.86,Southampton,,0
241,Sofia Mancini,1,female,,1,0,24.56,Southampton,,1
242,Jonas Mancini,3,female,14.6,0,1,12.53,Southampton,,1
243,Otto Mancini,1,female,28.2,0,0,18.47,Southampton,B114,1
244,Hugo Ferreira,3,male,38.7,0,0,10.26,Cherbourg,,1
245,Mira Vestergaard,3,male,11.3,0,0,11.02,Southampton,,0
246,Elsie Lindqvist,2,female,45.1,0,0,19.19,Queenstown,,0
247,Emil Nakamura,1,male,19.1,0,0,117.77,Southampton,E83,0
248,Iris Okonkwo,1,female,33.8,0,0,33.64,Cherbourg,B50,1
249,Ada Okonkwo,3,male,21.6,0,1,6.42,Southampton,,0
250,Piet Okonkwo,3,male,,0,2,15.25,Southampton,,0
251,Maeve Vestergaard,2,male,18.6,0,0,21.14,Southampton,,0
252,Hugo Ashworth,2,male,19.4,1,2,27.38,Cherbourg,,0
253,Nina Beaumont,2,female,,1,1,24.81,Southampton,,0
254,Jonas Ashworth,2,female,30.6,2,0,9.85,Cherbourg,,1
255,Otto Mancini,3,male,7.6,2,1,22.24,Queenstown,,0
256,Emil Ferreira,2,female,19.9,1,0,25.09,Southampton,,1
257,Ada Vestergaard,1,male,34.3,0,0,77.47,Southampton,E44,0
258,Otto Mancini,1,female,22.1,0,0,50.07,Cherbourg,D110,1
259,Rosa Nakamura,2,male,27.2,1,0,41.01,Southampton,,0
260,Tomas Vestergaard,3,female,0.5,0,0,21.46,Southampton,,0
261,Ada Lindqvist,3,female,29.6,0,1,7.87,Southampton,,1
262,Tomas Mancini,2,female,31.0,0,0,20.28,Queenstown,,0
263,Bram Lindqvist,3,male,2.6,1,0,13.36,Cherbourg,,0
264,Iris Dvorak,1,male,30.4,0,0,139.07,Southampton,C10,1
265,Clara Ashworth,3,male,34.1,0,0,12.7,Southampton,,0
266,Ada Halloran,1,female,26.2,0,0,77.38,Southampton,,1
267,Piet Dvorak,3,male,,1,0,17.54,Southampton,,0
268,Rosa Rowan,3,male,25.9,1,0,14.29,Southampton,,1
269,Bram Toussaint,1,female,38.7,0,0,56.83,Queenstown,C8,1
270,Elsie Rowan,3,female,,0,2,28.7,Southampton,,0
271,Otto Kowalski,1,male,24.4,1,0,120.72,Southampton,D64,0
272,Caleb Mancini,1,female,,0,0,138.87,Cherbourg,D53,1
273,Hugo Ferreira,3,male,17.0,0,0,19.25,Southampton,,0
274,Lena Mancini,3,female,27.4,1,2,14.9,Southampton,,1
275,Bram Toussaint,3,female,25.9,0,0,17.2,Cherbourg,,0
276,Mira Vestergaard,2,male,,0,1,13.57,Southampton,,0
277,Emil Toussaint,3,female,4.1,0,0,17.41,Southampton,,1
278,Elsie Dvorak,3,female,,0,0,16.93,Southampton,,1
279,Bram Toussaint,2,male,20.3,0,1,25.72,Southampton,,0
280,Iris Nakamura,3,male,,0,0,7.37,Southampton,,0
281,Rosa Vestergaard,3,male,15.0,0,0,14.21,Queenstown,,0
282,Rosa Dvorak,2,female,16.6,0,0,24.13,Southampton,,0
283,Otto Dvorak,3,male,,0,0,27.36,Southampton,,0
284,Tomas Ferreira,1,female,29.9,0,0,5.96,Southampton,E100,0
285,Owen Ashworth,3,female,33.5,1,0,11.47,Southampton,,1
286,Jonas Beaumont,2,male,37.2,1,0,4.81,Southampton,,0
287,Mira Okonkwo,3,female,10.8,0,0,19.12,Southampton,,1
288,Mira Beaumont,1,male,20.4,0,0,149.65,Queenstown,,1
289,Iris Vestergaard,3,female,,3,0,22.21,Southampton,,0
290,Mira Dvorak,3,male,42.5,0,0,8.81,Southampton,,0
291,Gus Beaumont,3,male,,0,0,16.28,Southampton,,1
292,Hugo Nakamura,2,male,48.7,0,1,22.07,Southampton,,1
293,Otto Vestergaard,1,female,33.2,0,0,31.18,Southampton,E84,1
294,Sofia Rowan,2,male,13.2,1,0,30.0,Southampton,,0
295,Sofia Nakamura,3,female,0.5,0,1,19.44,Southampton,,1
296,Ada Kowalski,3,male,,1,0,9.39,Cherbourg,,0
297,Maeve Vestergaard,2,male,27.9,0,0,17.1,Queenstown,,0
298,Clara Ferreira,1,male,40.8,0,0,131.28,Southampton,B43,0
299,Otto Dvorak,3,male,,1,1,15.56,Southampton,,0
300,Caleb Vestergaard,3,male,22.5,0,0,18.6,Southampton,,0
301,Nina Ashworth,3,male,20.7,2,0,11.45,Queenstown,,1
302,Bram Rowan,3,male,23.9,2,0,19.03,Southampton,,0
303,Otto Halloran,3,male,28.2,1,1,24.69,Cherbourg,,1
304,Clara Lindqvist,3,male,30.2,0,0,17.64,Southampton,,0
305,Caleb Ferreira,3,female,31.6,0,0,12.8,Southampton,,1
306,Mira Kowalski,3,female,4.0,0,0,27.96,Southampton,,1
307,Iris Lindqvist,3,female,23.7,0,0,14.12,Cherbourg,,1
308,Owen Toussaint,3,female,18.6,0,1,11.66,Southampton,,0
309,Nina Vestergaard,3,female,11.4,0,0,20.82,Southampton,,1
310,Rosa Dvorak,3,female,11.5,0,0,15.64,Southampton,,1
311,Tomas Vestergaard,3,female,0.5,1,0,9.84,Southampton,,0
312,Caleb Bergstrom,2,male,23.9,3,0,27.93,Southampton,,0
313,Ada Beaumont,1,female,7.1,0,0,118.35,Southampton,A95,1
314,Emil Dvorak,1,female,41.5,1,1,57.54,Queenstown,C12,0
315,Lena Halloran,3,male,,2,0,12.72,Southampton,,0
316,Elsie Bergstrom,3,male,4.7,0,0,16.19,Queenstown,,1
317,Rosa Okonkwo,1,male,34.5,0,0,32.88,Cherbourg,D47,1
318,Emil Ferreira,3,female,20.4,0,0,6.99,Southampton,,1
319,Elsie Beaumont,3,male,22.3,1,0,16.58,Southampton,,0
320,Rosa Okonkwo,3,male,,1,0,24.08,Southampton,,0
321,Owen Halloran,2,male,29.5,0,0,36.06,Southampton,,0
322,Hugo Halloran,3,male,11.9,2,0,17.24,Southampton,,0
323,Iris Nakamura,1,female,28.8,0,0,79.18,,E31,1
324,Maeve Vestergaard,3,female,46.0,0,2,24.27,Cherbourg,,0
325,Emil Rowan,1,male,51.3,0,0,9.77,Southampton,A45,0
326,Sofia Beaumont,3,female,45.8,0,0,20.88,Southampton,,0
327,Rosa Kowalski,2,male,27.0,1,1,44.79,Cherbourg,,0
328,Rosa Toussaint,2,female,31.0,0,0,14.6,Southampton,,0
329,Tomas Lindqvist,3,male,23.9,1,0,6.88,Southampton,,0
330,Emil Ferreira,3,male,6.7,0,0,16.65,Southampton,,0
331,Iris Ashworth,3,male,25.7,0,0,20.65,Southampton,,1
332,Lena Dvorak,3,male,32.7,0,0,5.18,Southampton,,1
333,Clara Nakamura,1,female,,0,0,21.39,Southampton,A12,0
334,Rosa Beaumont,3,male,20.4,2,1,24.28,Southampton,,0
335,Owen Dvorak,3,female,0.5,0,0,28.28,Southampton,,1
336,Piet Dvorak,3,female,,1,0,19.25,Southampton,,1
337,Caleb Mancini,3,female,39.5,0,0,11.38,Cherbourg,,1
338,Gus Dvorak,1,male,,0,1,67.53,Cherbourg,B72,1
339,Emil Vestergaard,2,female,23.5,2,0,29.39,Southampton,,1
340,Otto Lindqvist,3,male,40.6,0,0,16.41,Cherbourg,,0
